type,seq,timestamp,taget_seq,taget,mac,rssi,rate,sig_mode,mcs,cwb,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel_primary,channel_secondary,local_timestamp,ant,sig_len,rx_state,len,first_word_invalid,data
CSI_DATA,43838,2024-04-02 16:47:14.595,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451640098,0,44,0,104,0,"[-12, -10, -12, -10, -13, -9, -13, -9, -13, -10, -12, -10, -12, -10, -12, -10, -12, -9, -12, -9, -13, -8, -13, -8, -13, -8, -13, -8, -13, -8, -14, -7, -14, -7, -13, -7, -13, -7, -13, -7, -13, -8, -14, -7, -14, -7, -14, -6, -15, -6, -16, -7, -15, -4, -16, -5, -16, -4, -16, -4, -16, -5, -16, -5, -16, -5, -16, -5, -16, -5, -17, -5, -17, -5, -17, -5, -16, -5, -17, -6, -18, -6, -19, -6, -18, -6, -17, -7, -17, -8, -16, -8, -16, -8, -16, -8, -16, -8, -16, -9, -15, -9, -14, -9]"
CSI_DATA,43839,2024-04-02 16:47:14.599,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451650154,0,44,0,104,0,"[-17, -3, -17, -2, -17, -1, -18, -2, -17, -2, -17, -2, -17, -2, -17, -2, -16, -2, -16, -1, -17, 0, -17, 1, -17, 1, -17, 0, -17, 0, -17, 1, -16, 2, -16, 2, -16, 2, -16, 1, -17, 1, -17, 1, -16, 2, -17, 4, -17, 4, -19, 4, -16, 5, -17, 6, -17, 7, -17, 6, -17, 6, -17, 6, -18, 6, -17, 5, -17, 5, -18, 6, -19, 6, -18, 6, -18, 6, -19, 6, -19, 6, -20, 7, -20, 7, -20, 5, -20, 4, -20, 3, -19, 3, -19, 3, -19, 3, -20, 3, -19, 2, -18, 2]"
CSI_DATA,43840,2024-04-02 16:47:14.608,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451659634,0,44,0,104,0,"[-2, -14, -2, -14, -3, -14, -3, -14, -3, -14, -3, -13, -3, -13, -3, -13, -3, -13, -3, -12, -4, -13, -5, -13, -5, -13, -4, -13, -4, -13, -5, -13, -5, -13, -5, -12, -5, -12, -5, -12, -5, -13, -5, -12, -6, -12, -7, -12, -8, -13, -8, -13, -9, -12, -9, -13, -9, -12, -9, -12, -8, -12, -8, -12, -8, -12, -8, -12, -8, -12, -9, -13, -9, -13, -9, -13, -9, -13, -9, -13, -9, -14, -10, -14, -9, -14, -8, -14, -8, -15, -7, -14, -7, -14, -6, -14, -6, -14, -6, -14, -6, -14, -5, -14]"
CSI_DATA,43841,2024-04-02 16:47:14.618,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451669623,0,44,0,104,0,"[-11, -9, -11, -9, -12, -8, -12, -8, -11, -8, -11, -8, -11, -8, -11, -8, -11, -8, -11, -7, -12, -7, -12, -7, -12, -7, -12, -7, -12, -7, -13, -6, -12, -5, -12, -5, -12, -5, -12, -5, -12, -6, -12, -5, -12, -5, -13, -4, -14, -4, -15, -5, -14, -3, -15, -3, -15, -2, -14, -2, -14, -3, -14, -3, -15, -3, -15, -3, -15, -3, -16, -3, -16, -3, -15, -3, -15, -3, -16, -3, -16, -3, -17, -3, -17, -3, -16, -4, -15, -5, -15, -5, -15, -5, -15, -5, -15, -5, -15, -6, -14, -6, -13, -6]"
CSI_DATA,43842,2024-04-02 16:47:14.628,1,static,1a:00:00:00:00:00,-50,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451679619,0,44,0,104,0,"[-6, 11, -6, 11, -5, 11, -5, 12, -6, 11, -6, 11, -6, 11, -6, 11, -5, 11, -5, 11, -4, 11, -4, 12, -4, 12, -4, 11, -4, 11, -3, 12, -2, 12, -3, 11, -3, 11, -3, 11, -4, 11, -3, 11, -3, 11, -2, 12, -1, 13, -2, 13, 0, 12, 0, 13, 0, 13, 0, 13, -1, 13, -1, 13, -1, 13, -1, 13, -1, 13, 0, 14, 0, 14, -1, 14, -1, 14, 0, 14, 0, 15, 0, 15, -1, 15, -1, 15, -2, 14, -3, 14, -3, 14, -3, 14, -3, 14, -3, 14, -4, 13, -4, 12]"
CSI_DATA,43843,2024-04-02 16:47:14.638,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451689628,0,44,0,104,0,"[5, -12, 5, -13, 4, -13, 4, -13, 5, -13, 4, -13, 4, -13, 4, -12, 4, -12, 4, -12, 3, -13, 3, -13, 3, -13, 3, -13, 3, -13, 2, -14, 1, -13, 2, -12, 2, -12, 2, -13, 3, -13, 2, -13, 2, -13, 1, -13, 1, -14, 1, -15, -1, -14, -1, -15, -1, -15, -1, -15, 0, -14, 0, -15, 0, -15, 0, -15, 0, -15, 0, -15, 0, -16, 0, -16, 0, -15, 0, -16, 0, -16, 0, -17, 0, -17, 1, -16, 2, -16, 2, -16, 3, -15, 3, -15, 3, -15, 3, -15, 4, -15, 4, -14]"
CSI_DATA,43844,2024-04-02 16:47:14.648,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451699618,0,44,0,104,0,"[-17, 0, -17, 0, -17, 1, -17, 1, -17, 1, -17, 0, -16, 0, -16, 0, -16, 1, -16, 1, -16, 2, -16, 3, -17, 3, -17, 2, -17, 2, -17, 4, -16, 4, -15, 4, -15, 4, -16, 3, -17, 3, -16, 4, -16, 4, -16, 5, -17, 7, -18, 6, -16, 8, -17, 8, -16, 9, -15, 8, -16, 8, -16, 8, -17, 8, -17, 7, -17, 7, -17, 8, -18, 8, -17, 8, -18, 8, -18, 8, -18, 9, -19, 9, -19, 9, -19, 7, -19, 6, -19, 5, -19, 5, -19, 5, -19, 5, -19, 5, -18, 4, -18, 3]"
CSI_DATA,43845,2024-04-02 16:47:14.658,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451709619,0,44,0,104,0,"[-13, 2, -13, 3, -13, 4, -13, 4, -13, 3, -13, 3, -13, 3, -13, 3, -13, 3, -12, 4, -12, 4, -12, 5, -13, 5, -13, 4, -12, 4, -12, 5, -12, 6, -11, 5, -11, 5, -12, 5, -12, 5, -12, 5, -12, 5, -12, 6, -12, 7, -13, 7, -11, 8, -12, 9, -12, 9, -11, 9, -12, 8, -12, 8, -12, 8, -12, 8, -12, 8, -13, 8, -13, 9, -13, 8, -13, 8, -13, 8, -14, 8, -14, 9, -14, 9, -14, 8, -14, 7, -14, 6, -14, 6, -14, 6, -15, 5, -15, 5, -14, 5, -14, 4]"
CSI_DATA,43846,2024-04-02 16:47:14.673,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451724503,0,44,0,104,0,"[-12, 8, -12, 9, -12, 10, -12, 10, -12, 9, -12, 9, -12, 9, -12, 9, -11, 9, -11, 9, -11, 10, -10, 11, -11, 10, -11, 10, -11, 10, -10, 11, -9, 11, -9, 10, -9, 10, -10, 10, -10, 11, -10, 11, -9, 11, -9, 12, -9, 13, -10, 13, -8, 13, -8, 14, -8, 14, -7, 14, -8, 13, -8, 14, -9, 14, -9, 13, -8, 14, -9, 15, -9, 15, -9, 14, -9, 14, -9, 14, -10, 15, -10, 16, -10, 16, -10, 14, -11, 14, -11, 13, -11, 13, -12, 12, -12, 12, -12, 12, -12, 11, -12, 11]"
CSI_DATA,43847,2024-04-02 16:47:14.679,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451730511,0,44,0,104,0,"[-3, -17, -3, -17, -4, -17, -4, -17, -4, -17, -3, -17, -3, -17, -3, -16, -4, -16, -5, -16, -6, -16, -6, -16, -6, -16, -5, -16, -5, -16, -7, -16, -7, -15, -7, -15, -6, -15, -6, -15, -6, -16, -6, -15, -7, -15, -9, -15, -10, -16, -10, -17, -10, -14, -11, -15, -12, -15, -12, -15, -11, -15, -10, -16, -10, -16, -10, -16, -10, -16, -11, -16, -12, -16, -12, -16, -11, -16, -11, -16, -12, -17, -12, -17, -12, -17, -11, -18, -10, -18, -9, -18, -8, -18, -8, -18, -8, -18, -8, -18, -8, -17, -7, -17]"
CSI_DATA,43848,2024-04-02 16:47:14.691,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451742803,0,44,0,104,0,"[-1, -15, -2, -15, -3, -15, -3, -15, -2, -15, -2, -15, -2, -15, -2, -15, -2, -14, -3, -14, -4, -14, -5, -15, -5, -15, -4, -15, -4, -15, -5, -15, -5, -14, -5, -13, -5, -14, -4, -14, -4, -15, -5, -14, -5, -14, -7, -14, -8, -15, -8, -16, -8, -14, -9, -15, -9, -15, -9, -14, -8, -14, -8, -15, -8, -15, -8, -15, -8, -15, -9, -15, -9, -16, -9, -15, -9, -15, -9, -16, -9, -16, -10, -17, -10, -17, -8, -17, -7, -17, -6, -17, -6, -17, -5, -16, -6, -16, -6, -17, -6, -16, -5, -16]"
CSI_DATA,43849,2024-04-02 16:47:14.698,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451749761,0,44,0,104,0,"[6, 13, 6, 13, 7, 12, 7, 13, 6, 13, 6, 12, 5, 12, 5, 13, 5, 12, 7, 12, 9, 11, 9, 11, 9, 11, 8, 11, 7, 11, 8, 11, 8, 10, 8, 10, 7, 10, 7, 11, 7, 12, 7, 12, 8, 11, 10, 10, 11, 10, 10, 11, 10, 10, 11, 11, 11, 10, 11, 10, 10, 11, 10, 12, 10, 12, 9, 12, 10, 12, 11, 11, 12, 11, 12, 11, 11, 11, 11, 12, 11, 13, 12, 13, 11, 13, 10, 14, 8, 15, 8, 15, 7, 15, 7, 15, 8, 14, 9, 14, 8, 14, 7, 13]"
CSI_DATA,43850,2024-04-02 16:47:14.709,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451760331,0,44,0,104,0,"[2, -17, 1, -17, 0, -17, 1, -18, 1, -17, 1, -17, 1, -17, 1, -16, 1, -16, 0, -16, -1, -17, -2, -17, -2, -17, -1, -17, -1, -17, -2, -17, -3, -16, -3, -15, -3, -15, -2, -16, -2, -17, -2, -16, -3, -16, -4, -17, -5, -18, -5, -18, -6, -17, -7, -18, -7, -18, -7, -17, -6, -17, -6, -17, -6, -18, -6, -18, -6, -18, -7, -18, -7, -19, -6, -19, -6, -19, -6, -19, -7, -20, -7, -20, -7, -20, -6, -20, -5, -20, -4, -19, -3, -19, -3, -19, -3, -19, -3, -19, -2, -19, -2, -18]"
CSI_DATA,43851,2024-04-02 16:47:14.718,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451769687,0,44,0,104,0,"[-6, -16, -6, -16, -7, -16, -7, -16, -7, -16, -7, -16, -6, -16, -6, -15, -6, -15, -7, -14, -9, -15, -9, -15, -9, -15, -8, -15, -8, -15, -10, -15, -10, -14, -9, -13, -9, -13, -9, -14, -9, -14, -9, -14, -10, -13, -11, -13, -12, -13, -13, -15, -13, -12, -14, -13, -14, -12, -14, -12, -14, -13, -13, -13, -13, -13, -13, -13, -13, -13, -14, -13, -15, -14, -15, -13, -14, -13, -14, -14, -15, -14, -16, -15, -15, -15, -14, -16, -13, -16, -12, -16, -12, -16, -11, -16, -11, -16, -12, -16, -11, -16, -10, -16]"
CSI_DATA,43852,2024-04-02 16:47:14.728,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451779634,0,44,0,104,0,"[-6, 13, -5, 14, -4, 14, -4, 14, -5, 14, -5, 13, -5, 13, -5, 13, -5, 13, -4, 13, -3, 14, -3, 14, -3, 14, -4, 14, -4, 14, -2, 14, -2, 14, -2, 13, -2, 13, -3, 13, -3, 14, -3, 14, -2, 13, -1, 14, -1, 15, -1, 16, 1, 15, 1, 16, 1, 15, 1, 15, 0, 15, 0, 16, 0, 16, 0, 16, 0, 16, 0, 16, 0, 17, 0, 16, 0, 16, 0, 17, 0, 17, 0, 18, 0, 18, -1, 17, -2, 17, -3, 17, -3, 16, -4, 16, -4, 16, -4, 16, -4, 16, -4, 15]"
CSI_DATA,43853,2024-04-02 16:47:14.738,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451789629,0,44,0,104,0,"[10, -8, 10, -9, 10, -9, 10, -10, 10, -9, 9, -9, 9, -8, 9, -8, 9, -8, 9, -9, 9, -10, 8, -10, 9, -10, 9, -10, 9, -10, 8, -11, 7, -11, 7, -10, 7, -10, 8, -10, 8, -10, 8, -10, 7, -10, 7, -11, 7, -12, 8, -12, 6, -13, 6, -14, 6, -14, 5, -13, 6, -13, 6, -13, 7, -13, 7, -13, 6, -13, 7, -14, 7, -14, 7, -14, 7, -14, 7, -14, 7, -14, 7, -15, 7, -15, 8, -14, 8, -13, 9, -13, 9, -12, 9, -12, 10, -13, 10, -12, 9, -11, 9, -11]"
CSI_DATA,43854,2024-04-02 16:47:14.748,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451799618,0,44,0,104,0,"[-1, -19, -2, -19, -3, -19, -2, -20, -2, -20, -2, -18, -1, -18, -1, -18, -2, -17, -3, -17, -5, -18, -5, -18, -5, -19, -5, -20, -5, -19, -6, -19, -7, -17, -6, -16, -6, -16, -6, -17, -6, -17, -6, -17, -7, -17, -9, -17, -9, -18, -9, -20, -13, -17, -12, -18, -13, -17, -12, -16, -12, -17, -12, -17, -11, -17, -11, -17, -12, -17, -12, -17, -13, -18, -12, -18, -13, -18, -13, -18, -13, -19, -14, -19, -14, -19, -12, -19, -11, -20, -11, -19, -10, -19, -10, -19, -10, -19, -10, -19, -9, -19, -9, -18]"
CSI_DATA,43855,2024-04-02 16:47:14.758,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451809624,0,44,0,104,0,"[-14, 10, -13, 10, -13, 11, -13, 11, -13, 10, -13, 10, -13, 9, -13, 9, -13, 10, -12, 10, -12, 11, -11, 12, -12, 12, -12, 12, -12, 11, -11, 12, -10, 12, -10, 11, -10, 11, -11, 11, -11, 12, -11, 12, -10, 12, -9, 13, -10, 15, -10, 15, -8, 15, -8, 16, -8, 16, -8, 15, -9, 15, -9, 15, -9, 15, -9, 15, -9, 15, -9, 16, -9, 17, -9, 16, -9, 16, -10, 17, -10, 17, -10, 18, -10, 17, -11, 16, -11, 15, -12, 15, -12, 14, -13, 14, -13, 14, -13, 14, -12, 13, -12, 13]"
CSI_DATA,43856,2024-04-02 16:47:14.768,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451819743,0,44,0,104,0,"[-11, -13, -12, -13, -13, -12, -13, -12, -12, -13, -12, -12, -11, -12, -11, -12, -12, -12, -12, -11, -13, -10, -14, -10, -14, -11, -13, -11, -13, -11, -14, -10, -14, -9, -13, -9, -13, -9, -13, -10, -13, -10, -14, -10, -14, -9, -15, -8, -16, -9, -17, -9, -16, -7, -17, -7, -18, -7, -17, -7, -16, -7, -17, -8, -17, -8, -17, -8, -17, -8, -18, -8, -18, -8, -18, -8, -17, -8, -18, -9, -19, -9, -19, -9, -19, -9, -18, -10, -17, -11, -17, -11, -16, -11, -16, -11, -16, -11, -16, -11, -15, -12, -14, -12]"
CSI_DATA,43857,2024-04-02 16:47:14.784,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451832915,0,44,0,104,0,"[14, -4, 14, -4, 14, -5, 15, -5, 14, -5, 14, -4, 13, -4, 13, -4, 13, -5, 13, -5, 13, -6, 13, -7, 13, -7, 13, -6, 13, -6, 13, -7, 12, -8, 12, -7, 12, -7, 12, -7, 13, -7, 12, -7, 12, -7, 12, -9, 12, -10, 13, -10, 11, -11, 12, -11, 12, -12, 11, -11, 12, -11, 12, -11, 12, -11, 12, -11, 12, -11, 12, -12, 13, -12, 13, -11, 13, -11, 13, -12, 13, -12, 14, -12, 14, -12, 14, -11, 14, -11, 14, -10, 14, -9, 14, -9, 14, -9, 15, -9, 14, -8, 14, -7]"
CSI_DATA,43858,2024-04-02 16:47:14.793,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451844492,0,44,0,104,0,"[6, 15, 7, 15, 8, 14, 8, 14, 7, 15, 7, 14, 6, 14, 6, 14, 6, 13, 7, 13, 8, 13, 9, 13, 9, 13, 8, 13, 9, 13, 10, 13, 10, 12, 9, 11, 9, 12, 9, 12, 9, 13, 9, 12, 9, 12, 11, 11, 12, 12, 12, 13, 12, 10, 13, 11, 14, 11, 14, 10, 13, 11, 13, 11, 13, 11, 13, 11, 13, 11, 14, 12, 14, 12, 14, 12, 14, 11, 14, 12, 15, 13, 15, 13, 15, 13, 14, 14, 13, 15, 12, 14, 11, 14, 11, 14, 11, 14, 11, 15, 11, 15, 10, 14]"
CSI_DATA,43859,2024-04-02 16:47:14.798,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451849706,0,44,0,104,0,"[-5, 15, -5, 16, -4, 16, -4, 16, -5, 16, -5, 16, -5, 15, -5, 16, -5, 15, -4, 15, -3, 16, -2, 16, -2, 16, -3, 16, -3, 16, -2, 16, -1, 15, -1, 15, -1, 15, -2, 15, -2, 16, -2, 15, -1, 15, 0, 16, 1, 17, 0, 18, 2, 16, 2, 17, 2, 17, 3, 17, 2, 17, 1, 18, 1, 18, 1, 18, 1, 17, 2, 18, 2, 19, 2, 18, 2, 18, 2, 19, 2, 19, 2, 20, 2, 20, 1, 20, 0, 19, -1, 19, -2, 18, -2, 18, -2, 18, -2, 19, -2, 18, -3, 17]"
CSI_DATA,43860,2024-04-02 16:47:14.812,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451863555,0,44,0,104,0,"[15, 4, 16, 4, 16, 3, 16, 3, 16, 3, 15, 4, 15, 4, 15, 4, 14, 3, 14, 2, 15, 2, 16, 1, 16, 1, 16, 2, 16, 2, 16, 0, 16, 0, 15, 0, 15, 0, 15, 1, 16, 1, 15, 1, 15, 0, 16, -1, 17, -2, 18, -1, 17, -3, 18, -4, 17, -4, 17, -4, 17, -3, 18, -3, 18, -2, 17, -2, 17, -3, 18, -3, 19, -3, 18, -3, 18, -3, 19, -3, 20, -3, 20, -4, 20, -3, 19, -1, 19, 0, 19, 0, 19, 1, 18, 1, 19, 1, 19, 1, 18, 2, 17, 2]"
CSI_DATA,43861,2024-04-02 16:47:14.818,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451869624,0,44,0,104,0,"[-8, -14, -8, -13, -9, -12, -10, -13, -9, -13, -9, -13, -9, -13, -9, -12, -9, -12, -9, -12, -10, -12, -11, -11, -11, -12, -10, -12, -10, -12, -11, -11, -12, -10, -11, -10, -11, -9, -11, -10, -11, -10, -11, -10, -11, -10, -12, -9, -13, -10, -14, -11, -14, -8, -15, -9, -15, -8, -15, -8, -14, -8, -14, -9, -14, -9, -14, -9, -14, -9, -15, -9, -15, -10, -15, -9, -15, -9, -16, -9, -16, -10, -17, -10, -16, -10, -15, -10, -15, -11, -14, -11, -14, -11, -14, -12, -13, -12, -13, -12, -12, -12, -12, -12]"
CSI_DATA,43862,2024-04-02 16:47:14.828,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451879625,0,44,0,104,0,"[-14, 5, -14, 5, -14, 6, -14, 6, -14, 6, -14, 5, -14, 5, -14, 5, -13, 5, -13, 6, -13, 7, -13, 7, -13, 7, -13, 7, -13, 7, -13, 8, -12, 8, -12, 8, -12, 8, -13, 7, -13, 7, -12, 8, -12, 8, -11, 9, -12, 10, -13, 10, -11, 10, -12, 11, -11, 12, -11, 11, -11, 11, -12, 11, -12, 11, -12, 11, -12, 11, -12, 12, -13, 12, -12, 12, -12, 11, -13, 12, -13, 12, -13, 13, -14, 12, -14, 11, -14, 11, -14, 10, -14, 10, -14, 9, -15, 9, -15, 9, -14, 8, -14, 8]"
CSI_DATA,43863,2024-04-02 16:47:14.842,1,static,1a:00:00:00:00:00,-50,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451892034,0,44,0,104,0,"[11, 5, 11, 4, 12, 4, 12, 4, 12, 4, 11, 4, 11, 4, 11, 4, 10, 4, 11, 3, 11, 3, 12, 2, 12, 3, 11, 3, 12, 3, 12, 3, 12, 2, 11, 2, 11, 2, 11, 2, 12, 3, 11, 2, 11, 2, 12, 1, 13, 1, 13, 1, 13, 0, 13, 0, 13, 0, 13, 0, 13, 0, 13, 0, 13, 0, 13, 1, 13, 0, 13, 0, 14, 0, 14, 1, 14, 1, 14, 1, 15, 1, 15, 1, 15, 1, 15, 2, 14, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 4, 13, 4, 12, 4]"
CSI_DATA,43864,2024-04-02 16:47:14.848,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451899632,0,44,0,104,0,"[5, -14, 5, -14, 4, -15, 4, -15, 5, -15, 4, -14, 4, -14, 4, -14, 4, -14, 4, -14, 3, -15, 2, -15, 3, -15, 3, -15, 3, -15, 2, -15, 1, -15, 1, -14, 1, -14, 2, -14, 2, -15, 2, -15, 1, -15, 0, -15, 0, -16, 0, -17, -2, -16, -2, -17, -2, -17, -2, -16, -2, -16, -1, -16, -1, -17, -1, -16, -2, -16, -1, -17, -1, -18, -1, -18, -1, -18, -1, -18, -1, -19, -1, -19, -1, -19, 0, -18, 1, -18, 1, -18, 2, -17, 2, -17, 2, -18, 2, -17, 3, -17, 3, -16]"
CSI_DATA,43865,2024-04-02 16:47:14.858,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451909624,0,44,0,104,0,"[-15, -9, -15, -9, -15, -8, -16, -8, -15, -9, -15, -9, -15, -9, -14, -8, -14, -8, -15, -7, -16, -6, -16, -6, -16, -6, -16, -7, -16, -7, -16, -6, -16, -5, -15, -5, -15, -5, -16, -5, -16, -6, -16, -5, -16, -4, -17, -3, -18, -3, -19, -4, -17, -2, -18, -2, -19, -1, -18, -1, -18, -2, -19, -2, -19, -2, -18, -2, -18, -2, -19, -2, -20, -2, -19, -2, -19, -2, -20, -2, -20, -2, -21, -2, -21, -2, -20, -3, -20, -4, -19, -5, -19, -5, -18, -5, -19, -5, -19, -5, -18, -6, -17, -6]"
CSI_DATA,43866,2024-04-02 16:47:14.871,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451922184,0,44,0,104,0,"[-12, -6, -12, -6, -13, -5, -13, -5, -13, -6, -13, -5, -13, -5, -12, -5, -12, -5, -12, -4, -13, -4, -13, -3, -13, -4, -13, -4, -13, -4, -13, -3, -13, -3, -13, -3, -13, -3, -13, -3, -13, -3, -13, -3, -13, -2, -13, -1, -15, -1, -15, -1, -14, 0, -15, 0, -15, 0, -14, 0, -15, 0, -15, 0, -15, 0, -15, 0, -15, 0, -15, 0, -16, 0, -15, 0, -15, 0, -16, -1, -17, -1, -17, 0, -17, -1, -17, -1, -16, -2, -16, -3, -15, -3, -15, -3, -15, -3, -15, -3, -15, -4, -14, -4]"
CSI_DATA,43867,2024-04-02 16:47:14.878,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451929631,0,44,0,104,0,"[-5, 14, -4, 14, -3, 14, -3, 15, -4, 14, -4, 14, -4, 14, -4, 14, -4, 14, -3, 14, -2, 14, -2, 14, -2, 14, -3, 14, -2, 14, -1, 14, 0, 14, 0, 13, -1, 13, -1, 14, -1, 14, -1, 14, -1, 14, 0, 14, 1, 15, 0, 16, 2, 14, 2, 15, 3, 15, 3, 15, 2, 15, 2, 15, 2, 16, 2, 15, 2, 16, 3, 17, 2, 17, 2, 16, 2, 16, 2, 16, 3, 17, 3, 18, 2, 18, 1, 17, 1, 17, 0, 17, 0, 17, -1, 17, -1, 17, -2, 17, -2, 16, -2, 15]"
CSI_DATA,43868,2024-04-02 16:47:14.888,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451939628,0,44,0,104,0,"[6, 14, 7, 14, 8, 14, 8, 14, 7, 14, 7, 14, 7, 14, 7, 13, 7, 13, 8, 13, 9, 13, 9, 13, 9, 13, 9, 13, 9, 13, 10, 12, 10, 11, 9, 11, 9, 11, 10, 12, 10, 12, 10, 12, 10, 11, 11, 11, 13, 11, 13, 12, 13, 10, 14, 10, 14, 10, 14, 9, 14, 10, 14, 11, 14, 11, 13, 11, 14, 10, 14, 10, 15, 11, 14, 11, 14, 11, 15, 11, 15, 12, 16, 12, 15, 12, 15, 13, 14, 13, 13, 13, 13, 13, 12, 13, 12, 13, 12, 13, 12, 13, 11, 13]"
CSI_DATA,43869,2024-04-02 16:47:14.898,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451949620,0,44,0,104,0,"[12, 0, 13, 0, 13, -1, 13, -1, 13, -1, 12, 0, 12, 0, 12, 0, 12, 0, 12, -1, 12, -2, 12, -2, 13, -2, 13, -2, 12, -2, 12, -3, 12, -3, 11, -3, 11, -3, 12, -3, 12, -3, 12, -3, 12, -3, 12, -4, 13, -5, 13, -5, 12, -6, 13, -6, 13, -7, 12, -6, 12, -6, 13, -6, 13, -6, 13, -5, 13, -6, 14, -6, 14, -6, 14, -6, 13, -6, 14, -6, 14, -6, 15, -7, 15, -6, 15, -5, 15, -4, 14, -4, 14, -3, 15, -3, 15, -3, 15, -3, 14, -2, 13, -2]"
CSI_DATA,43870,2024-04-02 16:47:14.908,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451959598,0,44,0,104,0,"[16, 0, 16, -1, 16, -2, 16, -2, 16, -1, 16, -1, 15, -1, 15, -1, 15, -1, 15, -2, 15, -3, 15, -4, 16, -4, 16, -3, 16, -3, 15, -4, 15, -4, 14, -4, 14, -4, 15, -4, 15, -4, 15, -4, 15, -5, 15, -6, 16, -7, 17, -7, 15, -8, 16, -9, 16, -9, 15, -9, 15, -8, 16, -8, 16, -8, 16, -8, 16, -8, 16, -9, 17, -9, 17, -9, 16, -9, 17, -9, 18, -9, 18, -9, 18, -9, 18, -8, 18, -7, 18, -6, 18, -6, 18, -6, 18, -6, 18, -6, 17, -5, 17, -4]"
CSI_DATA,43871,2024-04-02 16:47:14.918,1,static,1a:00:00:00:00:00,-51,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,451969606,0,44,0,104,0,"[-6, -14, -7, -14, -7, -14, -7, -14, -7, -14, -7, -14, -7, -14, -7, -14, -7, -13, -7, -13, -8, -13, -9, -13, -9, -13, -8, -13, -8, -13, -9, -12, -9, -12, -9, -12, -9, -12, -9, -12, -9, -12, -9, -12, -9, -11, -11, -11, -12, -12, -12, -13, -12, -11, -13, -11, -13, -11, -13, -11, -13, -11, -13, -12, -12, -12, -12, -12, -12, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -13, -14, -13, -14, -13, -14, -13, -13, -14, -12, -15, -11, -14, -11, -14, -10, -14, -10, -14, -10, -15, -10, -15, -9, -14]"
